action_type,combined_shot_type,loc_x,loc_y,period,playoffs,season,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,opponent,month,time_remaining,home_play
Driving Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",3,0,2000-01,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,GSW,3,438,1
Jump Shot,Jump Shot,"(8.96, 28.88]","(56.2, 89.6]",3,0,2000-01,6,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,GSW,3,185,1
Driving Finger Roll Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",3,0,2000-01,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,GSW,3,163,1
Driving Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",3,0,2000-01,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,GSW,3,133,1
Jump Shot,Jump Shot,"(68.72, 88.64]","(56.2, 89.6]",1,0,2000-01,10,0.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,GSW,3,637,0
Jump Shot,Jump Shot,"(108.56, 128.48]","(156.4, 189.8]",1,0,2000-01,20,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,GSW,3,542,0
Jump Shot,Jump Shot,"(-70.72, -50.8]","(22.8, 56.2]",1,0,2000-01,6,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,GSW,3,503,0
Jump Shot,Jump Shot,"(-50.8, -30.88]","(22.8, 56.2]",1,0,2000-01,5,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,GSW,3,492,0
Jump Shot,Jump Shot,"(28.88, 48.8]","(-10.6, 22.8]",1,0,2000-01,3,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,GSW,3,239,0
Slam Dunk Shot,Dunk,"(-10.96, 8.96]","(-10.6, 22.8]",2,0,2000-01,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,GSW,3,25,0
Driving Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",3,0,2000-01,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,GSW,3,710,0
Jump Shot,Jump Shot,"(-170.32, -150.4]","(-10.6, 22.8]",3,0,2000-01,16,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,GSW,3,626,0
Driving Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",3,0,2000-01,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,GSW,3,295,0
Dunk Shot,Dunk,"(-10.96, 8.96]","(-10.6, 22.8]",3,0,2000-01,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,GSW,3,168,0
Slam Dunk Shot,Dunk,"(-10.96, 8.96]","(-10.6, 22.8]",4,0,2000-01,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,GSW,3,255,0
Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",4,0,2000-01,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,GSW,3,181,0
Jump Shot,Jump Shot,"(-170.32, -150.4]","(-44.835, -10.6]",4,0,2000-01,15,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,GSW,3,153,0
Jump Shot,Jump Shot,"(-70.72, -50.8]","(123.0, 156.4]",4,0,2000-01,15,0.0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,GSW,3,80,0
Jump Shot,Jump Shot,"(-70.72, -50.8]","(89.6, 123.0]",4,0,2000-01,11,1.0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,GSW,3,35,0
Jump Shot,Jump Shot,"(-30.88, -10.96]","(223.2, 256.6]",4,0,2000-01,25,1.0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,GSW,3,8,0
Jump Shot,Jump Shot,"(-10.96, 8.96]","(89.6, 123.0]",1,0,2000-01,10,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,TOR,3,586,1
Jump Shot,Jump Shot,"(-130.48, -110.56]","(123.0, 156.4]",1,0,2000-01,16,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,TOR,3,561,1
Jump Shot,Jump Shot,"(108.56, 128.48]","(156.4, 189.8]",1,0,2000-01,19,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,TOR,3,428,1
Tip Shot,Tip Shot,"(-10.96, 8.96]","(-10.6, 22.8]",1,0,2000-01,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,TOR,3,402,1
Driving Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",1,0,2000-01,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,TOR,3,253,1
Jump Shot,Jump Shot,"(-10.96, 8.96]","(89.6, 123.0]",1,0,2000-01,9,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,TOR,3,142,1
Jump Shot,Jump Shot,"(-90.64, -70.72]","(89.6, 123.0]",1,0,2000-01,12,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,TOR,3,88,1
Jump Shot,Jump Shot,"(108.56, 128.48]","(123.0, 156.4]",2,0,2000-01,18,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,TOR,3,256,1
Driving Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",2,0,2000-01,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,TOR,3,160,1
Jump Shot,Jump Shot,"(-190.24, -170.32]","(22.8, 56.2]",2,0,2000-01,19,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,TOR,3,0,1
Tip Shot,Tip Shot,"(-10.96, 8.96]","(-10.6, 22.8]",3,0,2000-01,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,TOR,3,696,1
Jump Shot,Jump Shot,"(68.72, 88.64]","(123.0, 156.4]",3,0,2000-01,17,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,TOR,3,565,1
Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",3,0,2000-01,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,TOR,3,502,1
Running Jump Shot,Jump Shot,"(8.96, 28.88]","(56.2, 89.6]",3,0,2000-01,7,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,TOR,3,429,1
Jump Shot,Jump Shot,"(148.4, 168.32]","(89.6, 123.0]",3,0,2000-01,18,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,TOR,3,334,1
Jump Shot,Jump Shot,"(-90.64, -70.72]","(123.0, 156.4]",3,0,2000-01,17,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,TOR,3,326,1
Jump Shot,Jump Shot,"(168.32, 188.24]","(22.8, 56.2]",3,0,2000-01,17,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,TOR,3,283,1
Jump Shot,Jump Shot,"(-90.64, -70.72]","(223.2, 256.6]",3,0,2000-01,26,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,TOR,3,243,1
Jump Shot,Jump Shot,"(-70.72, -50.8]","(22.8, 56.2]",3,0,2000-01,6,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,TOR,3,223,1
Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",3,0,2000-01,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,TOR,3,218,1
Alley Oop Dunk Shot,Dunk,"(-10.96, 8.96]","(-10.6, 22.8]",3,0,2000-01,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,TOR,3,119,1
Jump Shot,Jump Shot,"(-50.8, -30.88]","(189.8, 223.2]",3,0,2000-01,20,1.0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,TOR,3,83,1
Jump Shot,Jump Shot,"(-150.4, -130.48]","(22.8, 56.2]",3,0,2000-01,14,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,TOR,3,50,1
Jump Shot,Jump Shot,"(48.8, 68.72]","(56.2, 89.6]",3,0,2000-01,9,0.0,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,TOR,3,3,1
Jump Shot,Jump Shot,"(-30.88, -10.96]","(89.6, 123.0]",4,0,2000-01,11,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,TOR,3,667,1
Driving Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",4,0,2000-01,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,TOR,3,514,1
Jump Shot,Jump Shot,"(128.48, 148.4]","(-10.6, 22.8]",4,0,2000-01,14,0.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,TOR,3,387,1
Alley Oop Dunk Shot,Dunk,"(-10.96, 8.96]","(-10.6, 22.8]",4,0,2000-01,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,TOR,3,357,1
Jump Shot,Jump Shot,"(128.48, 148.4]","(123.0, 156.4]",4,0,2000-01,19,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,TOR,3,323,1
Running Jump Shot,Jump Shot,"(-170.32, -150.4]","(56.2, 89.6]",4,0,2000-01,17,1.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,TOR,3,284,1
Jump Shot,Jump Shot,"(-70.72, -50.8]","(223.2, 256.6]",4,0,2000-01,25,0.0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,TOR,3,246,1
Jump Shot,Jump Shot,"(-150.4, -130.48]","(56.2, 89.6]",1,0,2000-01,16,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,SAS,3,638,1
Jump Shot,Jump Shot,"(-130.48, -110.56]","(-10.6, 22.8]",1,0,2000-01,11,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,SAS,3,623,1
Running Jump Shot,Jump Shot,"(48.8, 68.72]","(89.6, 123.0]",1,0,2000-01,12,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,SAS,3,431,1
Jump Shot,Jump Shot,"(-110.56, -90.64]","(123.0, 156.4]",1,0,2000-01,16,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,SAS,3,393,1
Driving Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",1,0,2000-01,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,SAS,3,312,1
Driving Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",1,0,2000-01,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,SAS,3,233,1
Jump Shot,Jump Shot,"(-130.48, -110.56]","(56.2, 89.6]",1,0,2000-01,13,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,SAS,3,205,1
Jump Shot,Jump Shot,"(88.64, 108.56]","(89.6, 123.0]",1,0,2000-01,14,0.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,SAS,3,164,1
Jump Shot,Jump Shot,"(-70.72, -50.8]","(123.0, 156.4]",1,0,2000-01,13,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,SAS,3,103,1
Jump Shot,Jump Shot,"(128.48, 148.4]","(89.6, 123.0]",2,0,2000-01,17,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,SAS,3,394,1
Driving Finger Roll Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",2,0,2000-01,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,SAS,3,347,1
Jump Shot,Jump Shot,"(68.72, 88.64]","(-10.6, 22.8]",2,0,2000-01,8,0.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,SAS,3,214,1
Driving Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",2,0,2000-01,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,SAS,3,196,1
Driving Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",3,0,2000-01,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,SAS,3,658,1
Running Jump Shot,Jump Shot,"(88.64, 108.56]","(-10.6, 22.8]",3,0,2000-01,9,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,SAS,3,587,1
Jump Shot,Jump Shot,"(8.96, 28.88]","(56.2, 89.6]",3,0,2000-01,7,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,SAS,3,539,1
Jump Shot,Jump Shot,"(108.56, 128.48]","(56.2, 89.6]",3,0,2000-01,14,0.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,SAS,3,446,1
Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",3,0,2000-01,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,SAS,3,0,1
Turnaround Jump Shot,Jump Shot,"(48.8, 68.72]","(56.2, 89.6]",4,0,2000-01,9,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,SAS,3,698,1
Running Jump Shot,Jump Shot,"(-90.64, -70.72]","(-10.6, 22.8]",4,0,2000-01,7,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,SAS,3,449,1
Jump Shot,Jump Shot,"(48.8, 68.72]","(22.8, 56.2]",4,0,2000-01,7,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,SAS,3,220,1
Driving Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",4,0,2000-01,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,SAS,3,157,1
Jump Shot,Jump Shot,"(-90.64, -70.72]","(156.4, 189.8]",4,0,2000-01,20,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,SAS,3,55,1
Jump Shot,Jump Shot,"(68.72, 88.64]","(156.4, 189.8]",4,0,2000-01,17,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,SAS,3,46,1
Running Hook Shot,Hook Shot,"(88.64, 108.56]","(-10.6, 22.8]",5,0,2000-01,9,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,SAS,3,288,1
Jump Shot,Jump Shot,"(108.56, 128.48]","(123.0, 156.4]",5,0,2000-01,17,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,SAS,3,255,1
Jump Shot,Jump Shot,"(-10.96, 8.96]","(156.4, 189.8]",5,0,2000-01,16,0.0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,SAS,3,190,1
Alley Oop Dunk Shot,Dunk,"(-10.96, 8.96]","(-10.6, 22.8]",5,0,2000-01,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,SAS,3,81,1
Jump Shot,Jump Shot,"(128.48, 148.4]","(89.6, 123.0]",1,0,2000-01,17,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,DET,3,417,0
Dunk Shot,Dunk,"(-10.96, 8.96]","(-10.6, 22.8]",1,0,2000-01,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DET,3,282,0
Jump Shot,Jump Shot,"(-190.24, -170.32]","(22.8, 56.2]",1,0,2000-01,17,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,DET,3,50,0
Jump Shot,Jump Shot,"(148.4, 168.32]","(189.8, 223.2]",2,0,2000-01,26,0.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,DET,3,228,0
Jump Shot,Jump Shot,"(-170.32, -150.4]","(56.2, 89.6]",2,0,2000-01,16,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,DET,3,188,0
Jump Shot,Jump Shot,"(108.56, 128.48]","(89.6, 123.0]",2,0,2000-01,14,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,DET,3,156,0
Jump Shot,Jump Shot,"(8.96, 28.88]","(156.4, 189.8]",2,0,2000-01,16,0.0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,DET,3,134,0
Jump Shot,Jump Shot,"(208.16, 228.08]","(123.0, 156.4]",3,0,2000-01,25,1.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,DET,3,619,0
Jump Shot,Jump Shot,"(148.4, 168.32]","(56.2, 89.6]",3,0,2000-01,17,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,DET,3,522,0
Jump Shot,Jump Shot,"(-110.56, -90.64]","(123.0, 156.4]",3,0,2000-01,15,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,DET,3,353,0
Jump Shot,Jump Shot,"(-150.4, -130.48]","(89.6, 123.0]",3,0,2000-01,17,1.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,DET,3,227,0
Jump Shot,Jump Shot,"(-170.32, -150.4]","(89.6, 123.0]",3,0,2000-01,17,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,DET,3,62,0
Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",3,0,2000-01,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DET,3,4,0
Running Jump Shot,Jump Shot,"(48.8, 68.72]","(22.8, 56.2]",4,0,2000-01,8,1.0,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,DET,3,662,0
Jump Shot,Jump Shot,"(48.8, 68.72]","(56.2, 89.6]",4,0,2000-01,8,1.0,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,DET,3,613,0
Jump Shot,Jump Shot,"(-170.32, -150.4]","(56.2, 89.6]",4,0,2000-01,17,1.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,DET,3,545,0
Jump Shot,Jump Shot,"(68.72, 88.64]","(123.0, 156.4]",4,0,2000-01,17,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,DET,3,377,0
Jump Shot,Jump Shot,"(88.64, 108.56]","(156.4, 189.8]",4,0,2000-01,19,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,DET,3,288,0
Driving Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",4,0,2000-01,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DET,3,224,0
Jump Shot,Jump Shot,"(-130.48, -110.56]","(123.0, 156.4]",4,0,2000-01,18,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,DET,3,185,0
Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",4,0,2000-01,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,DET,3,146,0
Jump Shot,Jump Shot,"(-110.56, -90.64]","(256.6, 290.0]",4,0,2000-01,28,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,DET,3,84,0
Jump Shot,Jump Shot,"(-150.4, -130.48]","(22.8, 56.2]",4,0,2000-01,14,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,DET,3,30,0
Jump Shot,Jump Shot,"(-50.8, -30.88]","(22.8, 56.2]",4,0,2000-01,6,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,DET,3,2,0
Jump Shot,Jump Shot,"(68.72, 88.64]","(89.6, 123.0]",5,0,2000-01,11,1.0,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,DET,3,240,0
Jump Shot,Jump Shot,"(148.4, 168.32]","(22.8, 56.2]",5,0,2000-01,16,1.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,DET,3,190,0
Running Jump Shot,Jump Shot,"(28.88, 48.8]","(89.6, 123.0]",5,0,2000-01,10,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,DET,3,32,0
Slam Dunk Shot,Dunk,"(8.96, 28.88]","(-10.6, 22.8]",1,0,2000-01,1,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,WAS,3,497,0
Driving Dunk Shot,Dunk,"(8.96, 28.88]","(-10.6, 22.8]",1,0,2000-01,1,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,WAS,3,247,0
Jump Shot,Jump Shot,"(-50.8, -30.88]","(-10.6, 22.8]",1,0,2000-01,4,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,WAS,3,51,0
Turnaround Jump Shot,Jump Shot,"(-10.96, 8.96]","(56.2, 89.6]",1,0,2000-01,5,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,WAS,3,31,0
Jump Shot,Jump Shot,"(-230.08, -210.16]","(56.2, 89.6]",2,0,2000-01,23,0.0,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,WAS,3,108,0
Running Jump Shot,Jump Shot,"(-110.56, -90.64]","(-10.6, 22.8]",2,0,2000-01,10,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,WAS,3,52,0
Jump Shot,Jump Shot,"(-10.96, 8.96]","(189.8, 223.2]",2,0,2000-01,19,0.0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,WAS,3,32,0
Jump Shot,Jump Shot,"(88.64, 108.56]","(223.2, 256.6]",2,0,2000-01,25,1.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,WAS,3,0,0
Jump Shot,Jump Shot,"(28.88, 48.8]","(-10.6, 22.8]",3,0,2000-01,4,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,WAS,3,583,0
Jump Shot,Jump Shot,"(-150.4, -130.48]","(-10.6, 22.8]",3,0,2000-01,14,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,WAS,3,428,0
Jump Shot,Jump Shot,"(88.64, 108.56]","(189.8, 223.2]",3,0,2000-01,21,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,WAS,3,227,0
Driving Dunk Shot,Dunk,"(8.96, 28.88]","(-10.6, 22.8]",3,0,2000-01,1,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,WAS,3,48,0
Jump Shot,Jump Shot,"(8.96, 28.88]","(22.8, 56.2]",3,0,2000-01,4,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,WAS,3,23,0
Jump Shot,Jump Shot,"(-10.96, 8.96]","(189.8, 223.2]",4,0,2000-01,20,0.0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,WAS,3,704,0
Turnaround Jump Shot,Jump Shot,"(28.88, 48.8]","(22.8, 56.2]",4,0,2000-01,5,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,WAS,3,687,0
Jump Shot,Jump Shot,"(-70.72, -50.8]","(22.8, 56.2]",1,0,2000-01,8,0.0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,ORL,3,603,0
Alley Oop Dunk Shot,Dunk,"(-10.96, 8.96]","(-10.6, 22.8]",2,0,2000-01,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,ORL,3,666,0
Turnaround Jump Shot,Jump Shot,"(-150.4, -130.48]","(-10.6, 22.8]",2,0,2000-01,14,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,ORL,3,439,0
Jump Shot,Jump Shot,"(-30.88, -10.96]","(189.8, 223.2]",2,0,2000-01,19,0.0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,ORL,3,314,0
Turnaround Jump Shot,Jump Shot,"(-170.32, -150.4]","(22.8, 56.2]",2,0,2000-01,17,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,ORL,3,161,0
Running Jump Shot,Jump Shot,"(-10.96, 8.96]","(22.8, 56.2]",3,0,2000-01,4,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,ORL,3,633,0
Jump Shot,Jump Shot,"(-170.32, -150.4]","(-44.835, -10.6]",3,0,2000-01,15,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,ORL,3,580,0
Jump Shot,Jump Shot,"(128.48, 148.4]","(-44.835, -10.6]",3,0,2000-01,14,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,ORL,3,505,0
Jump Shot,Jump Shot,"(128.48, 148.4]","(123.0, 156.4]",3,0,2000-01,20,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,ORL,3,233,0
Jump Shot,Jump Shot,"(-10.96, 8.96]","(223.2, 256.6]",4,0,2000-01,25,0.0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,ORL,3,586,0
Jump Shot,Jump Shot,"(48.8, 68.72]","(123.0, 156.4]",4,0,2000-01,16,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,ORL,3,549,0
Jump Shot,Jump Shot,"(168.32, 188.24]","(123.0, 156.4]",4,0,2000-01,22,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,ORL,3,192,0
Alley Oop Layup shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",4,0,2000-01,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,ORL,3,154,0
Jump Shot,Jump Shot,"(-130.48, -110.56]","(-44.835, -10.6]",4,0,2000-01,11,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,ORL,3,127,0
Turnaround Jump Shot,Jump Shot,"(148.4, 168.32]","(-10.6, 22.8]",4,0,2000-01,16,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,ORL,3,87,0
Jump Shot,Jump Shot,"(128.48, 148.4]","(56.2, 89.6]",1,0,2000-01,14,0.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,ATL,3,478,0
Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",2,0,2000-01,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,ATL,3,670,0
Jump Shot,Jump Shot,"(48.8, 68.72]","(22.8, 56.2]",2,0,2000-01,8,0.0,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,ATL,3,638,0
Alley Oop Dunk Shot,Dunk,"(-10.96, 8.96]","(-10.6, 22.8]",2,0,2000-01,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,ATL,3,519,0
Layup Shot,Layup,"(-10.96, 8.96]","(-10.6, 22.8]",2,0,2000-01,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,ATL,3,316,0
Jump Shot,Jump Shot,"(-10.96, 8.96]","(22.8, 56.2]",2,0,2000-01,5,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,ATL,3,271,0
Jump Shot,Jump Shot,"(-110.56, -90.64]","(-10.6, 22.8]",2,0,2000-01,10,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,ATL,3,214,0
Jump Shot,Jump Shot,"(-210.16, -190.24]","(56.2, 89.6]",2,0,2000-01,20,1.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,ATL,3,62,0
